episode,timestep,reward
5,2000,-278.8099
10,4000,-241.4278
16,6000,-182.1474
22,8000,-221.4952
28,10000,-140.6761
38,12000,-129.877
50,14000,-106.2614
62,16000,-120.1194
73,18000,-66.0709
86,20000,-80.4601
100,22000,-55.3251
111,24000,-67.479
122,26000,-40.0982
132,28000,-5.6243
140,30000,-11.3461
150,32000,-19.2611
159,34000,13.5062
168,36000,13.5098
175,38000,33.052
182,40000,51.4719
188,42000,74.1114
195,44000,84.2741
201,46000,64.4285
208,48000,59.1122
215,50000,90.9846
220,52000,133.6977
225,54000,252.8118
232,56000,144.1723
236,58000,260.4233
241,60000,247.916
246,62000,215.7909
251,64000,151.658
256,66000,248.3228
261,68000,257.6514
265,70000,319.3292
270,72000,204.1309
274,74000,330.324
278,76000,352.0711
282,78000,348.442
286,80000,333.6563
290,82000,351.0562
294,84000,348.4812
298,86000,348.6508
303,88000,280.1659
307,90000,353.7005
311,92000,352.3847
315,94000,343.1947
319,96000,327.5757
324,98000,270.1272
328,100000,325.1145
